"saat","sure"
"160142",	32
"160203",	11
"160227",	24
"155219",	699
"160307",	12
"160330",	52
"160357",	38
"160432",	10
"160446",	48
"160515",	34
"160520",	52
"160534",	74
"160612",	47
"160653",	6
"160625",	81
"160733",	116
"160953",	4
"160830",	187
"160926",	128
"161041",	56
"161110",	16
"161124",	84
"161158",	21
"161218",	12
"161248",	38
"161307",	35
"161317",	19
"161400",	42
"161401",	19
"161438",	103
"161516",	60
"161700",	22
"161801",	23
"161901",	18
"161928",	24
"161948",	6
"162026",	8
"162035",	74
"162124",	19
"162109",	96
"162214",	5
"162243",	27
"162306",	26
"162306",	36
"162328",	26
"161855",	323
"162346",	19
"162415",	21
"162406",	91
"162421",	49
"162117",	305
"162527",	86
"162550",	18
"162619",	29
"162740",	57
"162844",	59
"162850",	40
"162854",	8
"162932",	76
"163028",	17
"163031",	34
"163122",	14
"163202",	102
"163209",	52
"163242",	49
"163243",	55
"163307",	35
"163355",	10
"163444",	19
"163104",	324
"163528",	42
"163609",	37
"163658",	21
"163745",	14
"163719",	41
"163723",	54
"163824",	38
"163857",	67
"163858",	99
"164001",	36
"164030",	45
"164039",	52
"164044",	36
"164045",	44
"164132",	16
"164234",	23
"164405",	35
"164448",	54
"164530",	20
"164336",	148
"164909",	24
"164555",	290
"164954",	24
"165046",	6
"165125",	32
"165128",	73
"165130",	52
"165226",	22
"165310",	12
"165353",	31
"165401",	12
"165440",	60
"165507",	34
"165555",	9
"165606",	31
"165639",	11
"165625",	44
"165628",	36
"165723",	32
"165725",	4
"165745",	22
"165832",	20
"165706",	143
"165812",	49
"165841",	34
"170003",	52
"170010",	18
"170012",	47
"165941",	96
"170008",	95
"170024",	42
"170134",	11
"170125",	35
"170127",	39
"170133",	51
"170244",	9
"170151",	84
"170249",	25
"170302",	5
"170402",	17
"170446",	28
"170543",	38
"170547",	39
"170653",	15
"170707",	60
"170729",	147
"170945",	9
"170906",	114
"171046",	70
"171119",	25
"171207",	51
"171217",	55
"171221",	67
"171231",	42
"171257",	52
"171302",	14
"171346",	6
"171359",	68
"171423",	54
"171412",	115
"171445",	80
"171459",	115
"171637",	9
"171721",	17
"171648",	93
"171727",	36
"171804",	45
"171902",	25
"171910",	6
"171943",	11
"171941",	31
"172000",	13
"172106",	47
"172109",	62
"172150",	46
"172230",	44
"172312",	24
"172345",	15
"172426",	30
"172413",	67
"172422",	52
"172517",	13
"172357",	134
"172539",	57
"172636",	6
"172433",	170
"172703",	34
"172713",	9
"172756",	11
"172816",	21
"172819",	68
"172847",	33
"172848",	18
"172934",	8
"172930",	35
"173015",	104
"173134",	36
"173212",	85
"173256",	72
"173257",	63
"173318",	66
"173421",	82
"173458",	54
"173610",	34
"173733",	5
"173740",	69
"173759",	27
"173836",	33
"173906",	50
"173919",	34
"173956",	25
"174038",	12
"174004",	92
"174042",	34
"174057",	52
"174109",	29
"174124",	19
"174136",	7
"174246",	45
"174257",	45
"174321",	41
"174345",	43
"174358",	4
"174400",	56
"174427",	34
"174435",	120
"174527",	34
"174548",	25
"174554",	44
"174634",	23
"174708",	8
"174710",	11
"172646",	1327
"174640",	104
"174737",	48
"174756",	33
"174801",	46
"174808",	96
"174902",	55
"174903",	32
"174910",	10
"174815",	117
"175001",	9
"175013",	5
"175022",	37
"175011",	59
"174910",	213
"175046",	103
"175120",	43
"175200",	30
"175205",	34
"175334",	23
"175309",	64
"175439",	20
"175430",	30
"175444",	37
"175530",	18
"175428",	114
"175600",	20
"175716",	41
"175724",	26
"175838",	17
"175652",	145
"175913",	26
"175929",	29
"175950",	33
"180003",	45
"180002",	107
"180118",	35
